Дата,Категория,Регион,Источник_Лида,Затраты_Маркетинг,Выручка,Тоннаж,Менеджер
2025-01-01,Арматура,ЦФО,Контекст,15000,450000,8.5,Иванов
2025-01-03,Листовой прокат,Урал,Выставки,50000,1200000,15.0,Петров
2025-01-05,Трубы,Экспорт,Холодные звонки,5000,850000,10.2,Сидоров
2025-01-10,Спецсталь,ПФО,SEO,12000,320000,2.5,Иванов
2025-01-12,Арматура,Урал,Контекст,18000,510000,9.1,Петров
2025-01-15,Листовой прокат,ЦФО,Прямые заходы,0,980000,12.0,Сидоров
2025-01-20,Трубы,Экспорт,Контекст,25000,2100000,25.0,Иванов
2025-02-01,Арматура,ПФО,Выставки,45000,1100000,20.0,Петров
2025-02-05,Спецсталь,Урал,SEO,10000,400000,3.0,Сидоров
2025-02-10,Трубы,ЦФО,Холодные звонки,7000,600000,7.5,Иванов
2025-02-15,Листовой прокат,Экспорт,Контекст,30000,1500000,18.0,Петров
2025-02-20,Арматура,ЦФО,SEO,8000,380000,7.0,Сидоров
