1,2,3,4
Alloy 200,"Ni 99,22",N02200,"2.4060, 2.4066"
Alloy 201,"LC Ni 99,22",N02201,"2.4061, 2.4068"
Alloy 400,NiCu30Fe,N04400,"2.4360, 2.4361"
Monel R-405,,N04405,
Monel K-500,NiCu30Al,N05500,"2.4375, 2.4374"
Alloy 600,NiCr15Fe,N06600,4816-02-01 00:00:00
Alloy 601,NiCr23Fe15,N06601,4851-02-01 00:00:00
Inconel 617,NiCr23Co12Mo,N06617,4663-02-01 00:00:00
Alloy 625,NiCr22Mo9Nb,N06625,4856-02-01 00:00:00
Inconel 690,NiCr29Fe,N06690,4642-02-01 00:00:00
Inconel 706,,N09706,
Alloy 718,NiCr19Fe19Nb5Mo3,N07718,4668-02-01 00:00:00
Inconel 725,,N07725,7725-02-01 00:00:00
Inconel X-750,NiCr15Fe7TiAl,N07750,4669-02-01 00:00:00
Alloy 800,,N08800,4876-01-01 00:00:00
Alloy 800H,X5NiCrAlTi31-20,N08810,4958-01-01 00:00:00
Alloy 800HT,X8NiCrAlTi32-21,N08811,4959-01-01 00:00:00
Alloy 825,NiFe30Cr21Mo3,N08825,4858-02-01 00:00:00
Incoloy 925,,N09925,
Incoloy 926,X1NiCrMoCuN25-20-7,N08926,4529-01-01 00:00:00
Hastelloy C-4,NiMo16Cr16Ti,N06455,4610-02-01 00:00:00
Hastelloy C-22,NiCr21Mo14W,N06022,4602-02-01 00:00:00
Hastelloy C-276,NiMo16Cr15W,N10276,4819-02-01 00:00:00
Hastelloy C-2000,NiCr23Mo16Cu,N06200,4675-02-01 00:00:00
Hastelloy N,,N10003,
Hastelloy B,,N10001,
Hastelloy B-2,,N10665,4617-02-01 00:00:00
Hastelloy B-3,NiMo29Cr,N10675,4600-02-01 00:00:00
Hastelloy X,NiCr22Fe18Mo,N06002,4665-02-01 00:00:00
Hastelloy S,,N06635,
Hastelloy G,,N06007,
Hastelloy G-30,NiCr30FeMo,N06030,4603-02-01 00:00:00
Hastelloy G-35,NiCr33Mo8,N06035,4643-02-01 00:00:00
Alloy 20,NiCr20CuMo,N08020,4660-02-01 00:00:00
Nimonic 90,NiCr20Co18Ti,N07090,4632-02-01 00:00:00
Nimonic 80а,NiCr20TiAl,N07080,"2.4952, 2.4631"
Alloy C-263,NiCo20Cr20MoTi,N07263,4650-02-01 00:00:00
Alloy 28,NiCo20Cr20MoT,N08028,4563-01-01 00:00:00
Alloy 31,X1NiCrMoCu32-28-7,N08031,4562-01-01 00:00:00
Alloy 59,NiCr23Mo16Al,N06059,4605-02-01 00:00:00
Alloy 75,NiCr20Ti,N06075,2.4951/2.4630
Alloy 330,"X12NiCrSi36-16, X8NiCrSi38-18",N08330,"1.4864, 1.4862"
Alloy 333,NiCr26MoW,N06333,4608-02-01 00:00:00
Alloy 686,NiCr21Mo16W,N06686,4606-02-01 00:00:00
Alloy B-10,NiMo23Cr8Fe,N10624,
Nichrome 80,,N06003,4869-02-01 00:00:00
Rene 41,,N07041,4973-02-01 00:00:00
Hastelloy C-22HS,,N07022,
Hastelloy HYBRID-BC1,NiMo22Cr15,N10362,4708-02-01 00:00:00
Inconel 713C,,N07713,
